                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3244,                 3.5735,                 3.8768,                0.00133,                0.13272,                0.00108,                0.00022,                 3.7317,                 4.4576,                 4.1137,             0.00065833,             0.00065833,             0.00065833
                      2,                 2.3814,                  2.277,                 2.9355,                0.29551,                0.24383,                0.15415,                0.02327,                 3.0548,                 5.1591,                 4.5137,              0.0012988,              0.0012988,              0.0012988
                      3,                 2.1149,                 1.8416,                 2.6228,                0.18311,                0.14815,                0.08471,                0.04112,                 2.2647,                 4.2132,                 2.9199,              0.0019128,              0.0019128,              0.0019128
                      4,                 1.9036,                  1.573,                 2.4387,                0.39991,                0.49691,                0.42535,                0.17312,                 1.9858,                 2.9662,                 2.7864,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7972,                 1.4078,                 2.2955,                0.70738,                0.64198,                0.69214,                0.35898,                 1.7492,                 2.0128,                 2.3747,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.7478,                 1.3553,                 2.1991,                0.72259,                 0.6753,                0.69567,                0.36661,                 1.6669,                  1.977,                 2.3475,               0.001802,               0.001802,               0.001802
                      7,                 1.6626,                 1.2637,                 2.1223,                0.60942,                0.43827,                 0.4999,                0.24842,                 2.0654,                 1.9122,                 2.6254,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6097,                 1.2238,                 2.0538,                0.69804,                   0.75,                0.77285,                 0.4072,                   1.62,                 1.6481,                 2.1583,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5472,                 1.1627,                 1.9756,                0.74591,                0.66049,                0.68233,                0.38987,                 1.4847,                 2.0599,                   2.04,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.5428,                 1.1378,                 1.9799,                0.80737,                0.75031,                 0.8073,                0.48022,                 1.3842,                 1.4105,                 1.9429,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.5226,                 1.0681,                 1.9603,                0.82985,                0.73761,                0.82691,                0.46347,                 1.4816,                 1.3467,                 2.0768,               0.001604,               0.001604,               0.001604
                     12,                 1.5271,                 1.0859,                 1.9421,                0.81511,                0.76852,                0.83988,                 0.4948,                 1.4928,                 1.3232,                 2.0562,              0.0015644,              0.0015644,              0.0015644
                     13,                    1.5,                 1.0758,                 1.9076,                0.68574,                0.65741,                0.65036,                0.39386,                 1.5215,                 1.7383,                 2.0733,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4571,                0.98698,                 1.8806,                0.84277,                0.74445,                0.83913,                0.50038,                 1.3839,                 1.2087,                 1.8965,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.465,                0.97222,                 1.8555,                0.87288,                0.78704,                0.84303,                0.53653,                 1.2833,                 1.2774,                 1.8184,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4527,                0.94728,                 1.8489,                0.88093,                0.75355,                0.86248,                 0.5708,                 1.2611,                  1.088,                 1.8613,               0.001406,               0.001406,               0.001406
